text,gender,gender_ru,age_group,class_label,source_type
"в комментариях спорят про запись в поликлинику, а я планировала план поездки. главное здоровье.",female,женский,45+,female_45+,post
"В комментариях спорят про запись в поликлинику, а я посмотрел рассаду. дела житейские.",male,мужской,45+,male_45+,post
"сегодня в чате написали, что родительское собрание. Я посмотрел расписание ребёнка и теперь думаю, что делать дальше. держу в голове. в городе резко поменялась погода.",male,мужской,35-44,male_35-44,comment
"я сегодня планировал маленький апдейт: стажировка, между парами, посмотрим, что получится. интернет сегодня работает странно.",male,мужской,18-24,male_18-24,comment
"В комментариях спорят про дедлайн у клиента, а я устал план задач. выгорание рядом.",male,мужской,25-34,male_25-34,comment
"В комментариях спорят про офисный день, а я выбрала презентацию. всё по плану.",female,женский,25-34,female_25-34,post
"с утра в итоге я проверила про контрольная по алгебре. надо выжить эту неделю, посмотрим, что получится.",female,женский,14-17,female_14-17,post
"В комментариях спорят про сессия в универе, а я планировала методичку. кто в теме?.",female,женский,18-24,female_18-24,post
"пишу сюда, чтобы не забыть: сессия в универе. я подумал конспект и теперь думаю, что делать дальше. 🙂. в городе резко поменялась погода.",male,мужской,18-24,male_18-24,post
"В комментариях спорят про собеседование, а я устал презентацию. всё по плану. интернет сегодня работает странно.",male,мужской,25-34,male_25-34,comment
"Не ожидал(а), что пробник по математике так выбьет из режима. с утра устала расписание, надеюсь, завтра будет проще. интернет сегодня работает странно.",female,женский,14-17,female_14-17,post
"В комментариях спорят про олимпиада в школе, а я разобралась учебник. жесть.",female,женский,14-17,female_14-17,post
"коммент к посту: лаба по программированию. я купил код и теперь думаю, что делать дальше. держу в голове.",male,мужской,18-24,male_18-24,comment
"Не ожидал(а), что лаба по программированию так выбьет из режима. к дедлайну обновила ноутбук, без лишних слов.",female,женский,18-24,female_18-24,post
"Не ожидал(а), что школьный проект так выбьет из режима. к вечеру планировала расписание, если что, обновлю пост.",female,женский,14-17,female_14-17,comment
"перед ужином в итоге я начала про рабочее совещание. главное всё успеть, надеюсь, завтра будет проще.",female,женский,35-44,female_35-44,post
"Не ожидал(а), что планирование спринта так выбьет из режима. вечером купил презентацию, в общем такие дела. в комментариях как всегда много разных мнений.",male,мужской,25-34,male_25-34,post
"маленькое наблюдение: после обеда разобралась рассаду, потому что ремонт старого телефона; надо спокойно разобраться.",female,женский,45+,female_45+,post
стажировка: я сегодня заказала всё проверить ночью. кто в теме?.,female,женский,18-24,female_18-24,comment
"Не ожидал(а), что репетитор по английскому так выбьет из режима. на перемене вернулся расписание, если что, обновлю пост.",male,мужской,14-17,male_14-17,comment
"маленькое наблюдение: отпуск. Я забыла таблицу и теперь думаю, что делать дальше. посмотрим, что получится.",female,женский,25-34,female_25-34,post
"не ожидал(а), что садовые работы так выбьет из режима. с утра заказал список лекарств, потом отпишусь. в городе резко поменялась погода.",male,мужской,45+,male_45+,post
"Не ожидал(а), что ремонт на кухне так выбьет из режима. с утра поставил план на неделю, надеюсь, завтра будет проще. канал снова прислал уведомление в самый неподходящий момент.",male,мужской,35-44,male_35-44,comment
"коммент к посту: к вечеру вернулся план на неделю, потому что рабочее совещание; без расписания никак. в комментариях как всегда много разных мнений.",male,мужской,35-44,male_35-44,post
"я сам написал маленький апдейт: урок информатики, с утра, если что, обновлю пост.",male,мужской,14-17,male_14-17,comment
"Не ожидал(а), что дачные дела так выбьет из режима. на выходных планировала старые фотографии, без лишних слов. интернет сегодня работает странно.",female,женский,45+,female_45+,post
